id,size,sex
414,24.5,F
415,11.7,M
416,24,F
417,16.8,F
418,13,M
419,9.7,M
420,12.4,M
421,22.1,F
422,12.4,M
423,11.8,M
424,12.3,M
425,13.3,M
426,11.3,M
427,13.9,M
428,12.9,M
429,13.2,M
430,13.7,M
431,13.6,M
432,23.4,F
433,26.1,F
434,13.2,M
435,12.1,M
436,22.5,F
437,24.1,F
438,11.5,M
439,19,F
440,12,M
441,21.8,F
442,21.7,F
443,11.9,M
444,12.4,M
445,23.8,F
446,13.8,M
447,12.1,M
448,12.5,M
449,12.6,M
450,10.4,M
451,20.6,F
452,11.8,M
453,13.3,M
454,23.5,F
455,11.7,M
456,13.2,M
457,23.5,F
458,24.9,F
459,13.3,M
460,23.7,F
461,24.4,F
462,11.2,M
463,22.6,F
464,12,M
465,25.2,F
466,26.6,F
467,12.2,M
468,20.8,F
469,22.5,F
470,15.3,M
471,25.5,F
472,21.3,F
473,11,M
474,21.4,F
475,10.9,M
476,10.8,M
477,26.2,F
478,24.7,F
479,12.5,M
480,19.3,F
481,13.6,M
482,10.5,M
483,21.3,F
484,12.3,M
485,20.8,F
486,14.5,M
487,25.5,F
488,21.7,F
489,13.2,M
490,12.7,M
491,13.6,M
492,23.4,F
493,20,F
494,21.4,F
495,12.4,M
496,22.9,F
497,20.6,F
498,10.2,M
499,23,F
500,19.3,F
501,12.6,M
502,26.3,F
503,16.3,F
504,23.3,F
505,19.9,F
506,25,F
507,13.6,M
508,12,M
509,12.6,M
510,12.4,M
511,10.7,M
512,13.9,M
513,12.2,M
514,24.8,F
515,12.5,M
516,20.2,F
517,19.3,F
518,13.5,M
519,11.5,M
520,13.1,M
521,12.7,M
522,25.4,F
523,26.7,F
524,17.9,F
525,12.3,M
526,20.4,F
527,11.9,M
528,21.8,F
529,11.1,M
530,13.3,M
531,24.3,F
532,22.7,F
533,13.5,M
534,24.8,F
535,19.7,F
536,12.9,M
537,12.7,F
538,22.9,F
539,13.1,M
540,26,F
541,13.2,M
542,20.3,F
543,11.3,M
544,12.8,M
545,15.1,M
546,11.2,M
547,23.8,F
548,23.2,F
549,11.7,M
550,9.2,M
551,21.9,F
552,12.6,M
553,21.2,F
554,12.7,M
555,12.9,M
556,25.7,F
557,19.2,F
558,12.3,M
559,11.1,M
560,23.2,F
561,21.7,F
562,21.4,F
563,19.6,F
564,11.8,M
565,14.1,M
566,25.8,F
567,12,M
568,11.2,M
569,10.5,M
570,9.6,M
571,24,F
572,22.7,F
573,21.2,F
574,24.6,F
575,25.9,F
576,20.8,F
577,11.6,M
578,20.4,F
579,12,M
580,10.8,M
581,26.8,F
582,11.9,M
583,11.5,M
584,21.5,F
585,11.5,M
586,10.7,M
587,11.1,M
588,11.6,M
589,12.3,M
590,22.6,F
591,25.7,F
592,24.2,F
593,13.3,M
594,22.8,F
595,11.8,M
596,19.8,F
597,16.6,F
598,11.1,M
599,11.6,M
600,11.7,M
601,12.5,M
602,21.2,F
603,9.4,M
604,17.3,F
605,13.1,M
606,21.4,F
607,12.2,M
608,21.7,F
609,12.5,M
610,19.7,F
611,21.9,F
612,19.2,F
613,14.2,M
614,10.2,M
615,10,M
616,11.5,M
617,10.6,M
618,11,M
619,13.6,M
620,23,F
621,10.5,M
622,12.5,M
623,22.3,F
624,24.5,F
625,20.4,F
626,11.1,M
627,12.1,M
628,12,M
629,25.1,F
630,26,F
631,21,F
632,11.7,M
633,13.2,M
634,12.1,M
635,12.7,M
636,23.9,F
637,12,M
638,11.8,M
639,10.3,F
640,12.7,M
641,19.4,F
642,11.2,M
643,13.3,M
644,9.9,M
645,23.4,F
646,10.9,M
647,25.5,F
648,24.2,F
649,12.8,M
650,23.7,F
651,23.2,F
652,9.9,M
653,14.1,M
654,11.3,M
655,21.1,F
656,14.7,M
657,11.5,M
658,10.9,M
659,22.6,F
660,12.7,M
661,21.5,F
662,11.9,M
663,20.9,F
664,10.9,M
665,13,M
666,24.8,F
667,22.9,F
668,10.9,M
669,24,F
670,22.2,F
671,10.2,M
672,13.6,M
673,22,F
674,12.3,M
675,24.6,F
676,10.8,M
677,20.2,F
678,13.9,M
679,12.1,M
680,23.8,F
681,10.3,M
682,12.5,M
683,12.8,M
684,19.7,F
685,23.3,F
686,16,F
687,24.4,F
688,17.9,F
689,11.8,M
690,24.7,F
691,10.5,M
692,20.1,F
693,16.7,F
694,13.7,M
695,21.9,F
696,25.4,F
697,10.2,M
698,20,F
699,24.9,F
700,23.1,F
701,22.3,F
702,19.6,F
703,23.4,F
704,17.2,F
705,13.1,M
706,12.2,M
707,11.7,M
708,8.8,M
709,20.2,F
710,22.8,F
711,25.3,F
712,11.9,M
713,22.7,F
714,17.5,F
715,12.1,M
716,10.8,M
717,14.6,M
718,11.6,M
719,11.2,M
720,14.5,M
721,10.4,M
722,13.4,M
723,13.2,M
724,13,M
725,23.9,F
726,12.4,M
727,12.3,M
728,21.1,F
729,10.1,M
730,12.9,M
731,12.6,M
732,19.7,F
733,13.3,M
734,11.5,M
735,20.3,F
736,18.2,F
737,14,M
738,19.4,F
739,24.5,F
740,20.6,F
741,24.2,F
742,22.5,F
743,12.9,M
744,11.4,M
745,26.7,F
746,18.1,F
747,12.5,M
748,26.5,F
749,24.1,F
750,23.2,F
751,19.1,F
752,12.9,M
753,23.2,F
754,26.5,F
755,24.1,F
756,14.3,M
757,22.3,F
758,11.1,M
759,12,M
760,24.6,F
761,13.1,M
762,12.2,M
763,11.8,M
764,12.7,M
765,24.2,F
766,22.5,F
767,11.6,M
768,13.1,M
769,10.4,M
770,24.7,F
771,12.6,M
772,24.9,F
773,11.4,M
774,10.7,M
775,11.5,M
776,12.8,M
777,11.4,M
778,10.7,M
779,20.3,F
780,13.3,M
781,23.9,F
782,19.9,F
783,13.1,M
784,14.9,M
785,20.3,F
786,22.5,F
787,11.8,M
788,24.4,F
789,23.5,F
790,13.1,M
791,19.2,F
792,11.1,M
793,21.7,F
794,23.1,F
795,12.2,M
796,15.6,F
797,14.1,M
798,11.7,M
799,11.4,M
800,26.5,F
801,20.8,F
802,25.1,F
803,25.7,F
804,23.2,F
805,9.2,M
806,20.8,F
807,13.1,M
808,11.6,M
809,24,F
810,22.4,F
811,10.2,M
812,11.8,M
813,23.2,F
814,26.8,F
815,12.6,M
816,23.2,F
817,11.7,M
818,13.3,M
819,12.9,M
820,11.6,M
821,18.9,F
822,10.9,M
823,13.4,M
824,12.1,M
825,13.6,M
826,22.6,F
827,11.2,M
828,13,M
829,16.3,F
830,19,F
831,15.6,F
832,11.6,M
