Number,Name,Position,Age,Height,Weight,Experience,College,Team,Side,Salary,Salary in Milions
96,Henry Anderson,DT,26,78,301,3,Stanford,Colts,Defense,629500,0.6295
97,Josh Mauro,DT,26,78,282,4,Stanford,Cardinals,Defense,750000,0.75
68,Caraun Reid,DT,26,74,298,4,Princeton,Colts,Defense,81176,0.081176
94,Beau Allen,DT,26,75,327,4,Wisconsin,Eagles,Defense,690000,0.69
98,Mike Pennel,DT,26,76,332,4,Colorado State-Pueblo,Jets,Defense,690000,0.69
99,Aaron Donald,DT,26,73,280,4,Pittsburgh,Rams,Defense,1802250,1.80225
98,Garrison Smith,DT,26,73,295,4,Georgia,Seahawks,Defense,476471,0.476471
93,Shamar Stephen,DT,26,77,310,4,Connecticut,Vikings,Defense,1797000,1.797
95,Abry Jones,DT,26,76,318,5,Georgia,Jaguars,Defense,2500000,2.5
97,Akeem Spence,DT,26,73,307,5,Illinois,Lions,Defense,1250000,1.25
97,Stevie Tu'ikolovatu,DT,26,73,320,0,USC,Buccaneers,Defense,NA,NA
46,Michael Burton,FB,26,73,240,3,Rutgers,Bears,Offense,615000,0.615
44,Kyle Juszczyk,FB,26,73,240,5,Harvard,49ers,Offense,2000000,2
67,Michael Liedtke,G,26,75,305,1,Illinois State,Buccaneers,Offense,NA,NA
62,Austin Reiter,G,26,74,300,2,South Florida,Browns,Offense,540000,0.54
77,John Fullington,G,26,77,300,2,Washington State,Saints,Offense,NA,NA
76,Max Garcia,G,26,76,309,3,Florida,Broncos,Offense,615000,0.615
60,A.J. Cann,G,26,75,325,3,South Carolina,Jaguars,Offense,721000,0.721
69,Tyler Shatley,G,26,75,310,3,Clemson,Jaguars,Offense,690000,0.69
73,Josh Walker,G,26,77,330,3,Middle Tennessee,Jaguars,Offense,615000,0.615
67,Zac Kerin,G,26,76,305,3,Toledo,Lions,Offense,615000,0.615
61,David Yankey,G,26,78,315,3,Stanford,Panthers,Offense,NA,NA
75,Brandon Scherff,G,26,77,319,3,Iowa,Redskins,Offense,615000,0.615
67,Quinton Spain,G,26,76,330,3,West Virginia,Titans,Offense,615000,0.615
77,Billy Turner,G,26,77,310,4,North Dakota State,Broncos,Offense,794000,0.794
75,Joel Bitonio,G,26,76,305,4,Nevada,Browns,Offense,3164777,3.164777
73,Zach Fulton,G,26,77,316,4,Tennessee,Chiefs,Offense,1788500,1.7885
76,Laurent Duvernay-Tardif,G,26,77,321,4,--,Chiefs,Offense,690000,0.69
70,Dakota Dozier,G,26,76,313,4,Furman,Jets,Offense,690000,0.69
68,Andrew Norwell,G,26,78,325,4,Ohio State,Panthers,Offense,2746000,2.746
66,Gabe Jackson,G,26,75,335,4,Mississippi State,Raiders,Offense,5250000,5.25
66,Ryan Jensen,G,26,76,319,4,Colorado State-Pueblo,Ravens,Offense,1797000,1.797
75,Jeremiah Sirles,G,26,78,315,4,Nebraska,Vikings,Offense,690000,0.69
67,Chance Warmack,G,26,74,323,5,Alabama,Eagles,Offense,760000,0.76
76,D.J. Fluker,G,26,77,345,5,Alabama,Giants,Offense,1500000,1.5
67,Brian Winters,G,26,76,320,5,Kent State,Jets,Offense,1000000,1
67,Larry Warford,G,26,75,317,5,Kentucky,Saints,Offense,1700000,1.7
75,Oday Aboushi,G,26,77,315,5,Virginia,Seahawks,Offense,775000,0.775
78,Luke Joeckel,G,26,78,307,5,Texas A&M,Seahawks,Offense,2750000,2.75
53,Edwin Jackson,LB,26,73,234,2,Georgia Southern,Colts,Defense,NA,NA
45,Mike Hull,LB,26,73,232,2,Penn State,Dolphins,Defense,615000,0.615
51,Kyler Fackrell,LB,26,77,245,2,Utah State,Packers,Defense,560000,0.56
58,Jonathan Anderson,LB,26,75,237,3,TCU,Bears,Defense,615000,0.615
44,Markus Golden,LB,26,75,260,3,Missouri,Cardinals,Defense,791212,0.791212
48,Nick Dzubnar,LB,26,73,240,3,Cal Poly,Chargers,Defense,542647,0.542647
51,Kyle Emanuel,LB,26,75,250,3,North Dakota State,Chargers,Defense,615000,0.615
59,Jeremiah George,LB,26,71,234,3,Iowa State,Colts,Defense,615000,0.615
57,Obum Gwacham,LB,26,77,246,3,Oregon State,Jets,Defense,470294,0.470294
48,Joe Thomas,LB,26,73,227,3,South Carolina State,Packers,Defense,8800000,8.8
56,Zach Vigil,LB,26,74,238,3,Utah State,Redskins,Defense,253235,0.253235
58,D.J. Alexander,LB,26,74,233,3,Oregon State,Seahawks,Defense,615000,0.615
52,Christian Jones,LB,26,75,245,4,Florida State,Bears,Defense,1000000,1
55,Dee Ford,LB,26,74,252,4,Auburn,Chiefs,Defense,957704,0.957704
57,Kevin Pierre-Louis,LB,26,73,230,4,Boston College,Chiefs,Defense,690000,0.69
52,Jordan Tripp,LB,26,75,234,4,Montana,Falcons,Defense,690000,0.69
59,Devon Kennard,LB,26,76,256,4,USC,Giants,Defense,1797000,1.797
50,Telvin Smith,LB,26,75,215,4,Florida State,Jaguars,Defense,1797000,1.797
53,Kyle Van Noy,LB,26,75,243,4,BYU,Patriots,Defense,990741,0.990741
57,Jon Bostic,LB,26,73,245,5,Florida,Colts,Defense,NA,NA
55,Ray-Ray Armstrong,LB,26,75,220,5,Miami,Giants,Defense,294118,0.294118
95,Josh Martin,LB,26,75,245,5,Columbia,Jets,Defense,1550000,1.55
52,Alec Ogletree,LB,26,74,235,5,Georgia,Rams,Defense,8369000,8.369
53,A.J. Klein,LB,26,73,240,5,Iowa State,Saints,Defense,1700000,1.7
59,Luke Kuechly,LB,26,75,238,6,Boston College,Panthers,Defense,7363324,7.363324
77,Jesse Davis,OT,26,78,321,1,Idaho,Dolphins,Offense,465000,0.465
75,William Poehls,OT,26,80,344,1,Montana,Jaguars,Offense,NA,NA
71,Dan France,OT,26,78,315,1,Michigan State,Panthers,Offense,NA,NA
66,Tyrus Thompson,OT,26,77,330,1,Oklahoma,Seahawks,Offense,NA,NA
72,Shon Coleman,OT,26,79,310,2,Auburn,Browns,Offense,568000,0.568
73,John Wetzel,OT,26,79,328,2,Boston College,Cardinals,Offense,540000,0.54
67,Stephane Nembot,OT,26,78,320,2,Colorado,Ravens,Offense,NA,NA
69,Rashod Hill,OT,26,78,313,2,Southern Mississippi,Vikings,Offense,540000,0.54
71,Denzelle Good,OT,26,77,345,3,Mars Hill,Colts,Offense,615000,0.615
72,Josh Wells,OT,26,78,306,3,James Madison,Jaguars,Offense,615000,0.615
79,Brent Qvale,OT,26,79,315,3,Nebraska,Jets,Offense,615000,0.615
69,T.J. Clemmings,OT,26,77,309,3,Pittsburgh,Redskins,Offense,615000,0.615
72,Charles Leno Jr.,OT,26,75,306,4,Boise State,Bears,Offense,NA,NA
66,Seantrel Henderson,OT,26,79,331,4,Miami,Bills,Offense,487058,0.487058
75,Jack Mewhort,OT,26,78,305,4,Ohio State,Colts,Offense,907337,0.907337
73,Cornelius Lucas,OT,26,81,330,4,Kansas State,Rams,Offense,649412,0.649412
74,James Hurst,OT,26,77,317,4,North Carolina,Ravens,Offense,700000,0.7
76,Morgan Moses,OT,26,78,335,4,Virginia,Redskins,Offense,1297000,1.297
77,Taylor Lewan,OT,26,79,309,4,Michigan,Titans,Offense,1986136,1.986136
69,David Bakhtiari,OT,26,76,310,5,Colorado,Packers,Offense,775000,0.775
68,LaAdrian Waddle,OT,26,78,315,5,Texas Tech,Patriots,Offense,800000,0.8
72,Terron Armstead,OT,26,77,304,5,Arkansas-Pine Bluff,Saints,Offense,4200000,4.2
2,Kasey Redfern,P,26,73,205,1,Wofford,Lions,Special Teams,465000,0.465
4,Jordan Berry,P,26,77,195,3,Eastern Kentucky,Steelers,Special Teams,615000,0.615
16,Pat O'Donnell,P,26,76,217,4,Miami,Bears,Special Teams,690000,0.69
9,Chris Boswell,PK,26,74,185,3,Rice,Steelers,Special Teams,615000,0.615
2,Cairo Santos,PK,26,68,160,4,Tulane,Bears,Special Teams,243529,0.243529
8,Brandon McManus,PK,26,75,201,4,Temple,Broncos,Special Teams,2746000,2.746
7,Patrick Murray,PK,26,67,182,4,Fordham,Buccaneers,Special Teams,381176,0.381176
7,Chandler Catanzaro,PK,26,75,200,4,Clemson,Jets,Special Teams,900000,0.9
4,Garrett Gilbert,QB,26,76,230,1,SMU,Panthers,Offense,NA,NA
13,Trevor Siemian,QB,26,75,220,3,Northwestern,Broncos,Offense,615000,0.615
9,Bryce Petty,QB,26,75,230,3,Baylor,Jets,Offense,615000,0.615
10,Jimmy Garoppolo,QB,26,74,225,4,Eastern Illinois,49ers,Offense,820077,0.820077
4,Derek Carr,QB,26,75,215,4,Fresno State,Raiders,Offense,5000000,5
9,Tyler Bray,QB,26,78,225,5,Tennessee,Chiefs,Offense,1252500,1.2525
32,David Fluellen,RB,26,71,224,1,Toledo,Titans,Offense,540000,0.54
31,Mack Brown,RB,26,71,213,2,Florida,Vikings,Offense,540000,0.54
45,Marcus Murphy,RB,26,69,195,3,Missouri,Bills,Offense,36176,0.036176
31,David Johnson,RB,26,73,224,3,Northern Iowa,Cardinals,Offense,615000,0.615
45,Rod Smith,RB,26,75,235,3,Ohio State,Cowboys,Offense,615000,0.615
34,Senorise Perry,RB,26,73,210,3,Louisville,Dolphins,Offense,540000,0.54
30,Corey Grant,RB,26,71,203,3,Auburn,Jaguars,Offense,615000,0.615
34,Zach Zenner,RB,26,71,221,3,South Dakota State,Lions,Offense,615000,0.615
37,Javorius Allen,RB,26,73,222,3,USC,Ravens,Offense,615000,0.615
33,Kerwynn Williams,RB,26,68,198,4,Utah State,Cardinals,Offense,690000,0.69
32,Branden Oliver,RB,26,68,208,4,Buffalo,Chargers,Offense,750000,0.75
32,Spencer Ware,RB,26,70,229,4,LSU,Chiefs,Offense,NA,NA
35,Charcandrick West,RB,26,70,205,4,Abilene Christian,Chiefs,Offense,700000,0.7
39,Mike James,RB,26,70,223,4,Miami,Lions,Offense,NA,NA
28,Alfred Blue,RB,26,74,225,4,LSU,Texans,Offense,690000,0.69
25,Giovani Bernard,RB,26,69,205,5,North Carolina,Bengals,Offense,1600000,1.6
22,C.J. Anderson,RB,26,68,224,5,California,Broncos,Offense,2900000,2.9
25,Theo Riddick,RB,26,69,201,5,Notre Dame,Lions,Offense,1075000,1.075
26,Lamar Miller,RB,26,70,225,6,Miami,Texans,Offense,5500000,5.5
27,Dexter McCoil,S,26,76,220,2,Tulsa,49ers,Defense,540000,0.54
20,Sharrod Neasman,S,26,71,213,2,Florida Atlantic,Falcons,Defense,540000,0.54
26,Jaylen Watkins,S,26,71,194,3,Florida,Eagles,Defense,690000,0.69
37,Ricardo Allen,S,26,69,186,3,Purdue,Falcons,Defense,615000,0.615
23,Kurtis Drummond,S,26,73,210,3,Michigan State,Texans,Defense,615000,0.615
41,Anthony Harris,S,26,73,192,3,Virginia,Vikings,Defense,615000,0.615
40,Antone Exum Jr.,S,26,73,219,4,Virginia Tech,49ers,Defense,NA,NA
35,Walt Aikens,S,26,73,212,4,Liberty,Dolphins,Defense,690000,0.69
29,Nat Berhe,S,26,71,195,4,San Diego State,Giants,Defense,690000,0.69
27,J.J. Wilcox,S,26,73,212,4,Georgia Southern,Steelers,Defense,2125000,2.125
35,Eric Reid,S,26,73,213,5,LSU,49ers,Defense,5676000,5.676
36,Shawn Williams,S,26,73,210,5,Georgia,Bengals,Defense,3100000,3.1
21,Jordan Poyer,S,26,73,191,5,Oregon State,Bills,Defense,1500000,1.5
29,Shamarko Thomas,S,26,69,205,5,Syracuse,Bills,Defense,592647,0.592647
38,Jeff Heath,S,26,73,212,5,Saginaw Valley,Cowboys,Defense,1471000,1.471
36,Kemal Ishmael,S,26,73,206,5,UCF,Falcons,Defense,1250000,1.25
23,Tony Jefferson,S,26,71,215,5,Oklahoma,Ravens,Defense,3000000,3
36,D.J. Swearinger,S,26,70,205,5,South Carolina,Redskins,Defense,2000000,2
32,Kenny Vaccaro,S,26,73,214,5,Texas,Saints,Defense,5676000,5.676
88,Vince Mayle,TE,26,74,247,2,Washington State,Ravens,Offense,540000,0.54
88,Khari Lee,TE,26,76,253,3,Bowie State Bulldogs,Bills,Offense,615000,0.615
82,Logan Thomas,TE,26,78,250,3,Virginia Tech,Bills,Offense,700000,0.7
84,Cameron Brate,TE,26,77,245,3,Harvard,Buccaneers,Offense,690000,0.69
85,Gabe Holmes,TE,26,76,255,3,Purdue,Cardinals,Offense,95294,0.095294
85,A.J. Derby,TE,26,77,255,3,Arkansas,Dolphins,Offense,615000,0.615
80,James O'Shaughnessy,TE,26,76,245,3,Illinois State,Jaguars,Offense,615000,0.615
85,Neal Sterling,TE,26,76,257,3,Monmouth,Jets,Offense,615000,0.615
88,Clive Walford,TE,26,76,250,3,Miami,Raiders,Offense,710646,0.710646
81,Blake Bell,TE,26,78,252,3,Oklahoma,Vikings,Offense,615000,0.615
84,Demetrius Harris,TE,26,79,230,4,--,Chiefs,Offense,1100000,1.1
88,Trey Burton,TE,26,75,235,4,Florida,Eagles,Offense,2746000,2.746
82,Richard Rodgers,TE,26,76,257,4,California,Packers,Offense,1787000,1.787
80,Crockett Gillmore,TE,26,78,266,4,Colorado State,Ravens,Offense,NA,NA
87,C.J. Fiedorowicz,TE,26,77,265,4,Iowa,Texans,Offense,3097000,3.097
88,Dion Sims,TE,26,76,268,5,Michigan State,Bears,Offense,2000000,2
80,Levine Toilolo,TE,26,80,265,5,Stanford,Falcons,Offense,1500000,1.5
87,Rashawn Scott,WR,26,73,199,1,Miami,Dolphins,Offense,540000,0.54
17,Bernard Reedy,WR,26,68,175,1,Toledo,Patriots,Offense,136765,0.136765
83,Matt Hazel,WR,26,73,195,2,Coastal Carolina,Browns,Offense,95294,0.095294
16,Freddie Martino,WR,26,73,195,2,North Greenville,Buccaneers,Offense,289408,0.289408
16,Johnny Holton,WR,26,73,190,2,Cincinnati,Raiders,Offense,540000,0.54
11,DeAndrew White,WR,26,73,192,2,Alabama,Texans,Offense,109412,0.109412
17,Jeremy Butler,WR,26,74,213,3,UT Martin,Bills,Offense,NA,NA
16,Bennie Fowler III,WR,26,73,212,3,Michigan State,Broncos,Offense,NA,NA
12,Josh Gordon,WR,26,75,225,3,Utah,Browns,Offense,1068406,1.068406
11,Geremy Davis,WR,26,75,211,3,Connecticut,Chargers,Offense,615000,0.615
89,Isaiah Burse,WR,26,70,187,3,Fresno State,Chargers,Offense,NA,NA
14,Justin Hardy,WR,26,70,192,3,East Carolina,Falcons,Offense,615000,0.615
12,Kaelin Clay,WR,26,70,195,3,Utah,Panthers,Offense,540000,0.54
10,Seth Roberts,WR,26,74,195,3,West Alabama,Raiders,Offense,615000,0.615
10,Martavis Bryant,WR,26,76,211,3,Clemson,Steelers,Offense,615000,0.615
13,Kelvin Benjamin,WR,26,77,245,4,Florida State,Bills,Offense,1000000,1
18,Taylor Gabriel,WR,26,68,165,4,Abilene Christian,Falcons,Offense,2746000,2.746
11,Marqise Lee,WR,26,73,196,4,USC,Jaguars,Offense,1125549,1.125549
88,Allen Hurns,WR,26,75,201,4,Miami,Jaguars,Offense,7000000,7
83,Jeff Janis,WR,26,75,219,4,Saginaw Valley,Packers,Offense,690000,0.69
12,Bruce Ellington,WR,26,69,200,4,South Carolina,Texans,Offense,690000,0.69
12,Markus Wheaton,WR,26,71,185,5,Oregon State,Bears,Offense,3000000,3
84,Cordarrelle Patterson,WR,26,74,220,5,Tennessee,Raiders,Offense,2500000,2.5
11,Justin Hunter,WR,26,76,203,5,Tennessee,Steelers,Offense,775000,0.775
3,Brisly Estime,WR,25,69,176,0,Syracuse,Jets,Offense,NA,NA
62,Daniel Munyer,C,25,73,305,1,Colorado,Cardinals,Offense,465000,0.465
72,Aaron Neary,C,25,76,301,1,Eastern Washington,Rams,Offense,27353,0.027353
66,Jack Allen,C,25,74,296,1,Michigan State,Saints,Offense,NA,NA
65,Cody Whitehair,C,25,76,310,2,Kansas State,Bears,Offense,642026,0.642026
64,Jake Brendel,C,25,76,299,2,UCLA,Dolphins,Offense,540000,0.54
60,Graham Glasgow,C,25,78,310,2,Michigan,Lions,Offense,558500,0.5585
66,Austin Blythe,C,25,75,300,2,Iowa,Rams,Offense,540000,0.54
61,Mitch Morse,C,25,78,305,3,Missouri,Chiefs,Offense,834826,0.834826
60,David Andrews,C,25,75,295,3,Georgia,Patriots,Offense,615000,0.615
62,James Stone,C,25,75,291,3,Tennessee,Raiders,Offense,72353,0.072353
65,Greg Mancz,C,25,76,300,3,Toledo,Texans,Offense,615000,0.615
62,Nick Easton,C,25,75,303,3,Harvard,Vikings,Offense,615000,0.615
61,Russell Bodine,C,25,75,308,4,North Carolina,Bengals,Offense,1797000,1.797
74,Demetrius Rhaney,C,25,74,301,4,Tennessee State,Redskins,Offense,243529,0.243529
26,Herb Waters,CB,25,73,188,1,Miami,Packers,Defense,NA,NA
22,William Jackson III,CB,25,73,190,2,Houston,Bengals,Defense,NA,NA
30,Lafayette Pitts,CB,25,71,195,2,Pittsburgh,Bills,Defense,540000,0.54
41,Mike Jordan,CB,25,73,200,2,Missouri Western,Browns,Defense,540000,0.54
26,Brandon Williams,CB,25,73,200,2,Texas A&M,Cardinals,Defense,775000,0.775
28,Chris Milton,CB,25,71,196,2,Georgia Tech,Colts,Defense,NA,NA
34,Brian Poole,CB,25,69,213,2,Florida,Falcons,Defense,540000,0.54
28,Josh Hawkins,CB,25,70,189,2,East Carolina,Packers,Defense,540000,0.54
32,Antonio Hamilton,CB,25,73,190,2,South Carolina State,Raiders,Defense,540000,0.54
2,DeAndre Elliott,CB,25,73,189,2,Colorado State,Seahawks,Defense,NA,NA
26,Josh Shaw,CB,25,73,190,3,USC,Bengals,Defense,615000,0.615
29,Craig Mager,CB,25,71,200,3,Texas State,Chargers,Defense,615000,0.615
20,Steven Nelson,CB,25,71,194,3,Oregon State,Chiefs,Defense,618500,0.6185
22,Marcus Peters,CB,25,73,197,3,Washington,Chiefs,Defense,1306287,1.306287
36,Tony Lippett,CB,25,75,192,3,Michigan State,Dolphins,Defense,NA,NA
28,Quandre Diggs,CB,25,69,200,3,Texas,Lions,Defense,615000,0.615
23,Damarious Randall,CB,25,71,196,3,Arizona State,Packers,Defense,1154612,1.154612
24,Quinten Rollins,CB,25,71,195,3,Miami (OH),Packers,Defense,775233,0.775233
23,LaDarius Gunter,CB,25,74,201,3,Miami,Panthers,Defense,615000,0.615
25,Eric Rowe,CB,25,73,205,3,Utah,Patriots,Defense,878623,0.878623
47,Quinton Dunbar,CB,25,74,197,3,Florida,Redskins,Defense,615000,0.615
30,Kevin Johnson,CB,25,73,190,3,Wake Forest,Texans,Defense,1348583,1.348583
35,Curtis Riley,CB,25,73,190,3,Fresno State,Titans,Defense,540000,0.54
26,Trae Waynes,CB,25,73,190,3,Michigan State,Vikings,Defense,1611761,1.611761
23,Kyle Fuller,CB,25,71,190,4,Virginia Tech,Bears,Defense,1740955,1.740955
28,E.J. Gaines,CB,25,70,185,4,Missouri,Bills,Defense,1797000,1.797
29,Bradley Roby,CB,25,71,194,4,Ohio State,Broncos,Defense,1018072,1.018072
25,Kenneth Acker,CB,25,73,195,4,SMU,Chiefs,Defense,690000,0.69
39,Terrance Mitchell,CB,25,71,190,4,Oregon,Chiefs,Defense,690000,0.69
27,Isaiah Johnson,DB,25,73,207,2,Georgia Tech,Rams,Defense,355589,0.355589
75,Cap Capi,DE,25,75,249,1,Akron,Bills,Defense,NA,NA
48,Christian French,DE,25,77,245,1,Oregon,Seahawks,Defense,NA,NA
93,Branden Jackson,DE,25,76,270,1,Texas Tech,Seahawks,Defense,412941,0.412941
98,Ronald Blair III,DE,25,76,270,2,Appalachian State,49ers,Defense,NA,NA
99,Adam Gotsis,DE,25,76,287,2,Georgia Tech,Broncos,Defense,628996,0.628996
71,Channing Ward,DE,25,76,279,2,Ole Miss,Buccaneers,Defense,63529,0.063529
94,Randy Gregory,DE,25,77,255,2,Nebraska,Cowboys,Defense,NA,NA
92,Brandon Dunn,DE,25,74,300,2,Louisville,Texans,Defense,690000,0.69
94,Ufomba Kamalu,DE,25,78,300,2,Miami,Texans,Defense,540000,0.54
44,Nate Orchard,DE,25,76,255,3,Utah,Browns,Defense,841028,0.841028
97,Anthony Johnson,DE,25,74,295,3,LSU,Colts,Defense,144706,0.144706
96,Geneo Grissom,DE,25,76,265,3,Oklahoma,Patriots,Defense,542647,0.542647
44,Hau'oli Kikaha,DE,25,75,246,3,Washington,Saints,Defense,913755,0.913755
96,L.T. Walton,DE,25,77,305,3,Central Michigan,Steelers,Defense,NA,NA
97,Angelo Blackson,DE,25,76,318,3,Auburn,Texans,Defense,325588,0.325588
54,Cassius Marsh,DE,25,76,245,4,UCLA,49ers,Defense,690000,0.69
94,Chris Smith,DE,25,73,266,4,Arkansas,Bengals,Defense,690000,0.69
90,DeMarcus Lawrence,DE,25,75,265,4,Boise State,Cowboys,Defense,1170907,1.170907
97,Marcus Smith II,DE,25,75,258,4,Louisville,Seahawks,Defense,NA,NA
59,Carroll Phillips,DE,25,75,242,0,Illinois,Jaguars,Defense,136765,0.136765
76,Richard Ash,DT,25,75,320,1,Western Michigan,Cowboys,Defense,349415,0.349415
92,Adolphus Washington,DT,25,76,295,2,Ohio State,Bills,Defense,540000,0.54
55,Christian Ringo,DT,25,73,298,2,Louisiana,Lions,Defense,190588,0.190588
69,Anthony Zettel,DT,25,76,270,2,Penn State,Lions,Defense,540000,0.54
97,Michael Pierce,DT,25,73,340,2,Samford,Ravens,Defense,540000,0.54
93,David Onyemata,DT,25,76,300,2,Manitoba,Saints,Defense,540000,0.54
96,Woodrow Hamilton,DT,25,75,315,2,Ole Miss,Saints,Defense,NA,NA
90,Jarran Reed,DT,25,75,306,2,Alabama,Seahawks,Defense,672256,0.672256
97,Jordan Phillips,DT,25,78,333,3,Oklahoma,Dolphins,Defense,831628,0.831628
98,Gabe Wright,DT,25,75,305,3,Auburn,Dolphins,Defense,NA,NA
94,Carl Davis,DT,25,77,321,3,Iowa,Ravens,Defense,630750,0.63075
59,David Parry,DT,25,74,317,3,Stanford,Saints,Defense,542647,0.542647
95,Tyeler Davison,DT,25,74,309,3,Fresno State,Saints,Defense,615000,0.615
93,Tim Jernigan,DT,25,74,295,4,Florida State,Eagles,Defense,NA,NA
96,Jay Bromley,DT,25,75,314,4,Syracuse,Giants,Defense,725000,0.725
91,Dominique Easley,DT,25,74,273,4,Florida,Rams,Defense,NA,NA
93,Daniel McCullers,DT,25,79,352,4,Tennessee,Steelers,Defense,690000,0.69
95,Johnathan Hankins,DT,25,74,325,5,Ohio State,Colts,Defense,3000000,3
90,Treyvon Hester,DT,25,74,304,0,Toledo,Raiders,Defense,465000,0.465
42,Malcolm Johnson,FB,25,73,231,2,Mississippi State,49ers,Offense,NA,NA
34,Derek Watt,FB,25,74,234,2,Wisconsin,Chargers,Offense,540000,0.54
40,Joe Kerridge,FB,25,73,245,2,Michigan,Packers,Offense,222353,0.222353
22,Aaron Ripkowski,FB,25,73,246,3,Oklahoma,Packers,Offense,615000,0.615
45,Roosevelt Nix,FB,25,71,248,3,Kent State,Steelers,Offense,615000,0.615
41,Keith Smith,FB,25,73,240,4,San Jose State,Cowboys,Offense,690000,0.69
45,Jay Prosch,FB,25,73,255,4,Auburn,Texans,Offense,690000,0.69
64,Justin McCray,G,25,75,317,1,UCF,Packers,Offense,465000,0.465
66,Trey Hopkins,G,25,75,310,2,Texas,Bengals,Offense,465000,0.465
66,Spencer Drango,G,25,78,315,2,Baylor,Browns,Offense,540000,0.54
63,Donavon Clark,G,25,76,315,2,Michigan State,Chargers,Offense,NA,NA
79,Parker Ehinger,G,25,78,310,2,Cincinnati,Chiefs,Offense,540000,0.54
75,Jamil Douglas,G,25,76,308,2,Arizona State,Falcons,Offense,NA,NA
64,Chris Reed,G,25,77,310,2,Minnesota State,Jaguars,Offense,412945,0.412945
62,Joe Thuney,G,25,77,305,2,NC State,Patriots,Offense,540000,0.54
68,Ian Silberman,G,25,77,305,2,Boston College,Raiders,Offense,NA,NA
72,Alex Lewis,G,25,78,315,2,Nebraska,Ravens,Offense,NA,NA
70,Rees Odhiambo,G,25,76,315,2,Boise State,Seahawks,Offense,553000,0.553
62,Chad Slade,G,25,75,315,2,Auburn,Texans,Offense,136765,0.136765
75,Laken Tomlinson,G,25,75,312,3,Duke,49ers,Offense,1212296,1.212296
64,Mark Glowinski,G,25,76,310,3,West Virginia,Colts,Offense,615000,0.615
76,Jon Feliciano,G,25,76,325,3,Miami,Raiders,Offense,615000,0.615
68,Isaac Asiata,G,25,75,341,0,Utah,Dolphins,Offense,465000,0.465
68,Tyler Catalina,G,25,76,325,0,Georgia,Redskins,Offense,465000,0.465
39,Derrick Mathews,LB,25,73,232,1,Houston,Giants,Defense,27353,0.027353
58,Curtis Grant,LB,25,74,249,1,Ohio State,Giants,Defense,437648,0.437648
45,Pete Robertson,LB,25,74,243,1,Texas Tech,Redskins,Defense,164118,0.164118
94,Leonard Floyd,LB,25,76,251,2,Georgia,Bears,Defense,1167403,1.167403
50,Zaire Anderson,LB,25,71,220,2,Nebraska,Broncos,Defense,540000,0.54
56,Max Bullough,LB,25,75,245,2,Michigan State,Browns,Defense,NA,NA
48,Jeremy Cash,LB,25,73,230,2,Duke,Browns,Defense,540000,0.54
49,Josh Keyes,LB,25,74,227,2,Boston College,Browns,Defense,325588,0.325588
50,Gabe Martin,LB,25,74,236,2,Bowling Green,Cardinals,Defense,158825,0.158825
46,Chris Landrum,LB,25,74,245,2,Jacksonville State,Chargers,Defense,NA,NA
52,Dadi Nicolas,LB,25,75,235,2,Virginia Tech,Chiefs,Defense,NA,NA
59,Joe Walker,LB,25,74,236,2,Oregon,Eagles,Defense,465000,0.465
50,Nicholas Grigsby,LB,25,74,230,2,Pittsburgh,Patriots,Defense,NA,NA
91,Shilique Calhoun,LB,25,76,251,2,Michigan State,Raiders,Defense,381176,0.381176
53,Carlos Thompson,LB,25,77,250,2,Ole Miss,Rams,Defense,158825,0.158825
99,Matthew Judon,LB,25,75,263,2,Grand Valley State,Ravens,Defense,NA,NA
48,Patrick Onwuasor,LB,25,73,227,2,Portland State,Ravens,Defense,540000,0.54
47,Paul Dawson,LB,25,73,240,2,TCU,Seahawks,Defense,95294,0.095294
59,Josh Forrest,LB,25,75,240,2,Kentucky,Seahawks,Defense,218824,0.218824
44,Tyler Matakevich,LB,25,73,235,2,Temple,Steelers,Defense,540000,0.54
92,Kevin Dodd,LB,25,77,277,2,Clemson,Titans,Defense,747832,0.747832
53,John Timu,LB,25,73,245,3,Washington,Bears,Defense,542647,0.542647
49,Edmond Robinson,LB,25,75,245,3,Newberry,Cardinals,Defense,36176,0.036176
50,Hayes Pullard III,LB,25,73,235,3,USC,Chargers,Defense,NA,NA
52,Denzel Perryman,LB,25,71,240,3,Miami,Chargers,Defense,831724,0.831724
53,Ramik Wilson,LB,25,74,237,3,Georgia,Chiefs,Defense,615000,0.615
44,Stephone Anthony,LB,25,75,245,3,Clemson,Dolphins,Defense,1004015,1.004015
58,Jordan Hicks,LB,25,73,236,3,Texas,Eagles,Defense,633000,0.633
44,Vic Beasley Jr.,LB,25,75,246,3,Clemson,Falcons,Defense,NA,NA
55,Lorenzo Mauldin,LB,25,76,259,3,Louisville,Jets,Defense,NA,NA
47,Jake Ryan,LB,25,74,240,3,Michigan,Packers,Defense,615000,0.615
54,Bryce Hager,LB,25,73,237,3,Baylor,Rams,Defense,615000,0.615
90,Za'Darius Smith,LB,25,76,275,3,Kentucky,Ravens,Defense,615000,0.615
94,Preston Smith,LB,25,77,265,3,Mississippi State,Redskins,Defense,960395,0.960395
56,Anthony Chickillo,LB,25,75,255,3,Miami,Steelers,Defense,615000,0.615
50,Ben Heeney,LB,25,73,230,3,Kansas,Texans,Defense,470294,0.470294
