Number,Name,Position,Age,Height,Weight,Experience,College,Team,Side,Salary,Salary in Milions
35,Brandon Boykin,CB,27,70,173,6,Georgia,Ravens,Defense,NA,NA
20,Jeremy Lane,CB,27,73,190,6,Northwestern State,Seahawks,Defense,4000000,4
21,Patrick Peterson,CB,27,73,203,7,LSU,Cardinals,Defense,9750000,9.75
24,Sterling Moore,CB,27,70,202,7,SMU,Saints,Defense,775000,0.775
25,Brandon Dixon,DB,27,71,203,2,Northwest Missouri State,Giants,Defense,158825,0.158825
30,Steven Terrell,DB,27,70,197,5,Texas A&M,Chiefs,Defense,690000,0.69
23,Darryl Morris,DB,27,70,186,5,Texas State,Giants,Defense,775000,0.775
77,Zach Moore,DE,27,78,275,2,Concordia-St. Paul,Panthers,Defense,NA,NA
51,Steven Means,DE,27,75,263,3,Buffalo,Eagles,Defense,690000,0.69
95,Dion Jordan,DE,27,78,275,3,Oregon,Seahawks,Defense,615000,0.615
92,Zach Kerr,DE,27,74,334,4,Delaware,Broncos,Defense,1000000,1
97,Ed Stinson,DE,27,76,287,4,Alabama,Jets,Defense,527647,0.527647
96,Denico Autry,DE,27,77,270,4,Mississippi State,Raiders,Defense,1797000,1.797
--,Don Jones,DE,27,71,195,5,Arkansas State,49ers,Defense,NA,NA
95,Tank Carradine,DE,27,76,270,5,Florida State,49ers,Defense,1100000,1.1
92,Lavar Edwards,DE,27,76,271,5,LSU,Browns,Defense,136765,0.136765
58,Datone Jones,DE,27,77,288,5,UCLA,Cowboys,Defense,227941,0.227941
95,Derek Wolfe,DE,27,77,285,6,Cincinnati,Broncos,Defense,5500000,5.5
54,Olivier Vernon,DE,27,74,262,6,Miami,Giants,Defense,11750000,11.75
93,Lawrence Guy,DE,27,76,305,7,Arizona State,Patriots,Defense,900000,0.9
64,A.J. Francis,DT,27,77,337,2,Maryland,Redskins,Defense,397936,0.397936
95,Tenny Palepoi,DT,27,73,298,4,Utah,Chargers,Defense,470294,0.470294
78,Justin Ellis,DT,27,74,335,4,Louisiana Tech,Raiders,Defense,1797000,1.797
93,Ethan Westbrooks,DT,27,76,283,4,West Texas A&M,Rams,Defense,1282175,1.282175
89,Chris Jones,DT,27,73,293,5,Bowling Green,49ers,Defense,800000,0.8
96,Sealver Siliga,DT,27,74,345,5,Utah,Buccaneers,Defense,800000,0.8
91,Quinton Dial,DT,27,77,318,5,Alabama,Packers,Defense,775001,0.775001
91,Sheldon Richardson,DT,27,75,295,5,Missouri,Seahawks,Defense,8069000,8.069
91,Fletcher Cox,DT,27,76,310,6,Mississippi State,Eagles,Defense,3000000,3
90,Michael Brockers,DT,27,77,302,6,LSU,Rams,Defense,1250000,1.25
95,Tyrunn Walker,DT,27,75,310,6,Tulsa,Rams,Defense,775000,0.775
94,Corey Liuget,DT,27,74,300,7,Illinois,Chargers,Defense,8000000,8
99,Marcell Dareus,DT,27,75,331,7,Alabama,Jaguars,Defense,9750000,9.75
40,Derrick Coleman,FB,27,73,233,4,UCLA,Falcons,Offense,690000,0.69
40,Tommy Bohanon,FB,27,73,246,4,Wake Forest,Jaguars,Offense,690000,0.69
67,Chris Barker,G,27,74,300,2,Nevada,Browns,Offense,NA,NA
65,Anthony Steen,G,27,76,320,2,Alabama,Dolphins,Offense,615000,0.615
72,Ryan Groy,G,27,77,320,4,Wisconsin,Bills,Offense,1500000,1.5
64,Kevin Pamphile,G,27,77,310,4,Purdue,Buccaneers,Offense,1797000,1.797
70,Zack Martin,G,27,76,315,4,Notre Dame,Cowboys,Offense,1642882,1.642882
71,Xavier Su'a-Filo,G,27,76,310,4,UCLA,Texans,Offense,1177036,1.177036
71,Earl Watford,G,27,75,300,5,James Madison,Cardinals,Offense,592647,0.592647
73,Joe Looney,G,27,75,315,5,Wake Forest,Cowboys,Offense,800000,0.8
68,Austin Pasztor,G,27,79,305,5,Virginia,Falcons,Offense,775000,0.775
67,Justin Pugh,G,27,77,311,5,Syracuse,Giants,Offense,8821000,8.821
70,Kevin Zeitler,G,27,76,315,6,Wisconsin,Browns,Offense,6000000,6
44,Deon Lacey,LB,27,75,235,1,West Alabama,Bills,Defense,465000,0.465
50,Freddie Bishop,LB,27,75,255,1,Western Michigan,Jets,Defense,508240,0.50824
47,James Cowser,LB,27,75,245,2,Southern Utah,Raiders,Defense,540000,0.54
57,Howard Jones,LB,27,76,238,3,Shepherd,Bears,Defense,217059,0.217059
53,Adarius Glanton,LB,27,73,230,3,Florida Atlantic,Buccaneers,Defense,690000,0.69
45,Deontae Skinner,LB,27,73,241,3,Mississippi State,Giants,Defense,506464,0.506464
50,Brock Coyle,LB,27,73,245,4,Montana,49ers,Defense,1000000,1
49,Lamin Barrow,LB,27,73,237,4,LSU,Dolphins,Defense,NA,NA
51,Julian Stanford,LB,27,73,230,4,Wagner,Jets,Defense,775000,0.775
93,Trent Murphy,LB,27,78,259,4,Stanford,Redskins,Defense,NA,NA
44,Dewey McDonald,LB,27,73,229,4,California (PA),Seahawks,Defense,690000,0.69
51,Kevin Minter,LB,27,73,246,5,LSU,Bengals,Defense,800000,0.8
51,John Simon,LB,27,73,250,5,Ohio State,Colts,Defense,1500000,1.5
52,Barkevious Mingo,LB,27,76,239,5,LSU,Colts,Defense,1500000,1.5
47,Kiko Alonso,LB,27,75,233,5,Oregon,Dolphins,Defense,1075000,1.075
53,LaRoy Reynolds,LB,27,73,240,5,Virginia,Falcons,Defense,850000,0.85
55,Lerentee McCray,LB,27,75,249,5,Florida,Jaguars,Defense,1500000,1.5
47,David Bass,LB,27,76,267,5,Missouri Western,Jets,Defense,683824,0.683824
